position,feature,gain,normalized_gain,group
QB,player_fp_career_max_prior,10730.04800415039,0.005322450303026079,Player profile
QB,player_fp_roll3_mean,115915.04034423828,0.057497603120399254,Player profile
QB,player_fp_roll3_std,7702.096984863281,0.003820488819357127,Player profile
QB,player_fp_roll3_max,2690.0830078125,0.0013343680395985927,Player profile
QB,player_fp_roll5_mean,27404.608856201172,0.01359357093785419,Player profile
QB,player_fp_roll5_std,8282.783935546875,0.0041085282983448915,Player profile
QB,player_fp_roll5_max,2408.938995361328,0.0011949115307660217,Player profile
QB,player_fp_roll8_mean,224562.47048950195,0.11139023689761889,Player profile
QB,player_fp_roll8_std,10077.730072021484,0.00499887954414542,Player profile
QB,player_fp_roll8_max,32838.694915771484,0.01628905310002555,Player profile
QB,player_boom10_rate_prior,11537.657958984375,0.005723050919833233,Player profile
QB,player_boom15_rate_prior,8071.475921630859,0.004003712699918481,Player profile
QB,player_boom20_rate_prior,3731.2389526367188,0.0018508150090700815,Player profile
QB,player_games_this_season_prior,4613.047027587891,0.002288220289449005,Other
QB,player_fp_season_mean_prior,8560.127960205078,0.004246099890523562,Player profile
QB,player_boom10_rate_this_season_prior,5443.178070068359,0.00269999209297612,Player profile
QB,player_boom15_rate_this_season_prior,5402.109069824219,0.00267962054266154,Player profile
QB,player_boom20_rate_this_season_prior,8215.108947753906,0.004074959319049864,Player profile
QB,fp_roll3_vs_prev_per_game,3620.4649658203125,0.0017958675345135524,Prior season
QB,fp_career_mean_vs_prev_per_game,6784.860992431641,0.003365510147875334,Player profile
QB,team_position_total_attempts_lag1,47244.58963012695,0.023434842071158323,Opportunity share
QB,team_position_share_attempts_lag1,24273.511993408203,0.012040445785037506,Opportunity share
QB,team_position_total_attempts_roll3_mean,134699.97772216797,0.06681553865999933,Opportunity share
QB,team_position_share_attempts_roll3_mean,13644.311889648438,0.0067680192971691965,Opportunity share
QB,team_position_total_attempts_roll5_mean,61292.151275634766,0.030402886268909395,Opportunity share
QB,team_position_share_attempts_roll5_mean,163617.59771728516,0.08115961198066583,Opportunity share
QB,team_position_total_completions_lag1,3259.3040161132812,0.001616720040908133,Opportunity share
QB,team_position_share_completions_lag1,36242.201171875,0.017977302108524155,Opportunity share
QB,team_position_total_completions_roll3_mean,16326.904754638672,0.00809867198405747,Opportunity share
QB,team_position_share_completions_roll3_mean,201407.46435546875,0.09990460613744093,Opportunity share
QB,team_position_total_completions_roll5_mean,11960.042877197266,0.005932567478852006,Opportunity share
QB,team_position_share_completions_roll5_mean,155277.33856201172,0.07702257411735611,Opportunity share
QB,team_position_total_passing_air_yards_lag1,7572.051025390625,0.003755981824035687,Opportunity share
QB,team_position_share_passing_air_yards_lag1,18913.93994140625,0.00938192497681428,Opportunity share
QB,team_position_total_passing_air_yards_roll3_mean,416.8340148925781,0.00020676313172302975,Opportunity share
QB,team_position_share_passing_air_yards_roll3_mean,2485.830078125,0.0012330519907711598,Opportunity share
QB,team_position_total_passing_air_yards_roll5_mean,7295.058990478516,0.0036185848301374755,Opportunity share
QB,team_position_share_passing_air_yards_roll5_mean,2890.969970703125,0.0014340144602015222,Opportunity share
QB,team_position_total_carries_lag1,1409.0380249023438,0.0006989283607786211,Opportunity share
QB,team_position_share_carries_lag1,0.0,0.0,Opportunity share
QB,team_position_total_carries_roll3_mean,493.7449951171875,0.00024491346151131834,Opportunity share
QB,team_position_share_carries_roll3_mean,7049.7650146484375,0.0034969110971325274,Opportunity share
